"ubiReg","reg","ubiPro","pro","parti","votos"
"030000","APURIMAC","030100","ABANCAY","UNION POR EL PERU",17760
"080000","HUANCAVELICA","080200","ACOBAMBA","UNION POR EL PERU",9031
"070000","CUSCO","070200","ACOMAYO","UNION POR EL PERU",5550
"020000","ANCASH","020200","AIJA","UNION POR EL PERU",1375
"940000","EUROPA","940200","ALEMANIA","UNIDAD NACIONAL",1296
"150000","LORETO","150200","ALTO AMAZONAS","UNION POR EL PERU",9924
"090000","HUANUCO","090200","AMBO","UNION POR EL PERU",8587
"030000","APURIMAC","030300","ANDAHUAYLAS","UNION POR EL PERU",26653
"080000","HUANCAVELICA","080300","ANGARAES","UNION POR EL PERU",7860
"070000","CUSCO","070300","ANTA","UNION POR EL PERU",12042
"030000","APURIMAC","030400","ANTABAMBA","UNION POR EL PERU",1739
"920000","AMERICA","920100","ANTILLAS HOLANDESAS","UNIDAD NACIONAL",100
"020000","ANCASH","021600","ANTONIO RAIMONDI","UNION POR EL PERU",2992
"040000","AREQUIPA","040100","AREQUIPA","UNION POR EL PERU",238173
"910000","AFRICA","910100","ARGELIA","UNIDAD NACIONAL",1
"920000","AMERICA","920200","ARGENTINA","UNIDAD NACIONAL",14943
"120000","LA LIBERTAD","120800","ASCOPE","PARTIDO APRISTA PERUANO",41447
"020000","ANCASH","021800","ASUNCION","UNION POR EL PERU",1368
"250000","UCAYALI","250300","ATALAYA","UNION POR EL PERU",2204
"950000","OCEANIA","950100","AUSTRALIA","UNIDAD NACIONAL",399
"940000","EUROPA","940300","AUSTRIA","UNIDAD NACIONAL",150
"190000","PIURA","190200","AYABACA","UNION POR EL PERU",15350
"030000","APURIMAC","030200","AYMARAES","UNION POR EL PERU",5331
"200000","PUNO","200200","AZANGARO","UNION POR EL PERU",25856
"010000","AMAZONAS","010200","BAGUA","UNION POR EL PERU",8056
"140000","LIMA","140900","BARRANCA","PARTIDO APRISTA PERUANO",25389
"940000","EUROPA","940400","BELGICA","UNIDAD NACIONAL",546
"210000","SAN MARTIN","210700","BELLAVISTA","UNION POR EL PERU",5430
"120000","LA LIBERTAD","120200","BOLIVAR","PARTIDO APRISTA PERUANO",1652
"920000","AMERICA","920400","BOLIVIA","UNIDAD NACIONAL",1095
"020000","ANCASH","020300","BOLOGNESI","UNION POR EL PERU",3867
"010000","AMAZONAS","010300","BONGARA","UNION POR EL PERU",2884
"920000","AMERICA","920500","BRASIL","UNIDAD NACIONAL",1415
"940000","EUROPA","940500","BULGARIA","UNIDAD NACIONAL",10
"060000","CAJAMARCA","060200","CAJABAMBA","ALIANZA POR EL FUTURO",8582
"060000","CAJAMARCA","060100","CAJAMARCA","PARTIDO APRISTA PERUANO",28864
"140000","LIMA","140200","CAJATAMBO","UNION POR EL PERU",1049
"070000","CUSCO","070400","CALCA","UNION POR EL PERU",13945
"240000","CALLAO","240100","CALLAO","PARTIDO APRISTA PERUANO",133934
"040000","AREQUIPA","040300","CAMANA","UNION POR EL PERU",11762
"920000","AMERICA","920600","CANADA","UNIDAD NACIONAL",3200
"070000","CUSCO","070500","CANAS","UNION POR EL PERU",8742
"070000","CUSCO","070600","CANCHIS","UNION POR EL PERU",28097
"220000","TACNA","220400","CANDARAVE","UNION POR EL PERU",2294
"140000","LIMA","140400","CAÑETE","PARTIDO APRISTA PERUANO",27599
"050000","AYACUCHO","050200","CANGALLO","UNION POR EL PERU",6716
"140000","LIMA","140300","CANTA","UNION POR EL PERU",2374
"200000","PUNO","200300","CARABAYA","UNION POR EL PERU",8990
"040000","AREQUIPA","040400","CARAVELI","UNION POR EL PERU",4423
"020000","ANCASH","020400","CARHUAZ","UNION POR EL PERU",6595
"020000","ANCASH","021700","CARLOS FERMIN FITZCARRALD","UNION POR EL PERU",3054
"020000","ANCASH","020500","CASMA","PARTIDO APRISTA PERUANO",7061
"040000","AREQUIPA","040500","CASTILLA","UNION POR EL PERU",8919
"080000","HUANCAVELICA","080400","CASTROVIRREYNA","UNION POR EL PERU",2776
"040000","AREQUIPA","040200","CAYLLOMA","UNION POR EL PERU",19416
"060000","CAJAMARCA","060300","CELENDIN","PARTIDO APRISTA PERUANO",6237
"010000","AMAZONAS","010100","CHACHAPOYAS","UNION POR EL PERU",6235
"110000","JUNIN","110800","CHANCHAMAYO","UNION POR EL PERU",17820
"120000","LA LIBERTAD","120900","CHEPEN","PARTIDO APRISTA PERUANO",17304
"130000","LAMBAYEQUE","130100","CHICLAYO","PARTIDO APRISTA PERUANO",140624
"920000","AMERICA","921000","CHILE","UNIDAD NACIONAL",12785
"930000","ASIA","930200","CHINA, REPUBLICA POPULAR","UNIDAD NACIONAL",99
"100000","ICA","100200","CHINCHA","PARTIDO APRISTA PERUANO",35410
"030000","APURIMAC","030700","CHINCHEROS","UNION POR EL PERU",8644
"060000","CAJAMARCA","060600","CHOTA","UNION POR EL PERU",16314
"200000","PUNO","200400","CHUCUITO","UNION POR EL PERU",22321
"070000","CUSCO","070700","CHUMBIVILCAS","UNION POR EL PERU",13762
"110000","JUNIN","110900","CHUPACA","UNION POR EL PERU",12465
"080000","HUANCAVELICA","080700","CHURCAMPA","UNION POR EL PERU",7275
"920000","AMERICA","920700","COLOMBIA","UNIDAD NACIONAL",775
"110000","JUNIN","110200","CONCEPCION","UNION POR EL PERU",10448
"040000","AREQUIPA","040600","CONDESUYOS","UNION POR EL PERU",3715
"010000","AMAZONAS","010600","CONDORCANQUI","UNION POR EL PERU",3124
"230000","TUMBES","230200","CONTRALMIRANTE VILLAR","UNIDAD NACIONAL",1998
"060000","CAJAMARCA","060400","CONTUMAZA","PARTIDO APRISTA PERUANO",7152
"930000","ASIA","930100","COREA DEL SUR, REPUBLICA DE","UNIDAD NACIONAL",28
"250000","UCAYALI","250100","CORONEL PORTILLO","UNION POR EL PERU",36927
"020000","ANCASH","020600","CORONGO","UNION POR EL PERU",850
"920000","AMERICA","920800","COSTA RICA","UNIDAD NACIONAL",675
"030000","APURIMAC","030500","COTABAMBAS","UNION POR EL PERU",6683
"920000","AMERICA","920900","CUBA","UNION POR EL PERU",261
"070000","CUSCO","070100","CUSCO","UNION POR EL PERU",83615
"060000","CAJAMARCA","060500","CUTERVO","UNION POR EL PERU",11843
"180000","PASCO","180200","DANIEL ALCIDES CARRION","UNION POR EL PERU",4438
"150000","LORETO","150700","DATEM DEL MARAÑON","UNION POR EL PERU",2818
"940000","EUROPA","940800","DINAMARCA","UNIDAD NACIONAL",52
"090000","HUANUCO","090300","DOS DE MAYO","UNION POR EL PERU",6392
"920000","AMERICA","921100","ECUADOR","UNIDAD NACIONAL",888
"910000","AFRICA","910300","EGIPTO, REPUBLICA ARABE","UNIDAD NACIONAL",14
"200000","PUNO","201200","EL COLLAO","UNION POR EL PERU",18577
"210000","SAN MARTIN","211000","EL DORADO","UNION POR EL PERU",2613
"920000","AMERICA","921200","EL SALVADOR","UNIDAD NACIONAL",57
"940000","EUROPA","943800","ESLOVAQUIA","UNIDAD NACIONAL",4
"940000","EUROPA","940900","ESPAÑA","UNIDAD NACIONAL",19991
"070000","CUSCO","070800","ESPINAR","UNION POR EL PERU",14265
"920000","AMERICA","921300","ESTADOS UNIDOS DE AMERICA","UNIDAD NACIONAL",42501
"940000","EUROPA","944400","ESTONIA","UNIDAD NACIONAL",3
"130000","LAMBAYEQUE","130200","FERREÑAFE","PARTIDO APRISTA PERUANO",14279
"930000","ASIA","933200","FILIPINAS","ALIANZA PARA EL PROGRESO",0
"930000","ASIA","933200","FILIPINAS","ALIANZA POR EL FUTURO",0
"930000","ASIA","933200","FILIPINAS","AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL",0
"930000","ASIA","933200","FILIPINAS","CON FUERZA PERU",0
"930000","ASIA","933200","FILIPINAS","CONCERTACION DESCENTRALISTA",0
"930000","ASIA","933200","FILIPINAS","FRENTE DE CENTRO",0
"930000","ASIA","933200","FILIPINAS","FUERZA DEMOCRATICA",0
"930000","ASIA","933200","FILIPINAS","MOVIMIENTO NUEVA IZQUIERDA",0
"930000","ASIA","933200","FILIPINAS","PARTIDO APRISTA PERUANO",0
"930000","ASIA","933200","FILIPINAS","PARTIDO JUSTICIA NACIONAL",0
"930000","ASIA","933200","FILIPINAS","PARTIDO RECONSTRUCCION DEMOCRATICA",0
"930000","ASIA","933200","FILIPINAS","PARTIDO RENACIMIENTO ANDINO",0
"930000","ASIA","933200","FILIPINAS","PARTIDO SOCIALISTA",0
"930000","ASIA","933200","FILIPINAS","PERU AHORA",0
"930000","ASIA","933200","FILIPINAS","PROGRESEMOS PERU",0
"930000","ASIA","933200","FILIPINAS","RESTAURACION NACIONAL",0
"930000","ASIA","933200","FILIPINAS","RESURGIMIENTO PERUANO",0
"930000","ASIA","933200","FILIPINAS","UNIDAD NACIONAL",0
"930000","ASIA","933200","FILIPINAS","UNION POR EL PERU",0
"930000","ASIA","933200","FILIPINAS","Y SE LLAMA PERU",0
"940000","EUROPA","941000","FINLANDIA","UNIDAD NACIONAL",38
"940000","EUROPA","941100","FRANCIA","UNIDAD NACIONAL",1151
"170000","MOQUEGUA","170200","GENERAL SANCHEZ CERRO","UNION POR EL PERU",4886
"940000","EUROPA","941200","GRAN BRETAÑA","UNIDAD NACIONAL",628
"120000","LA LIBERTAD","121100","GRAN CHIMU","PARTIDO APRISTA PERUANO",6460
"030000","APURIMAC","030600","GRAU","UNION POR EL PERU",3957
"940000","EUROPA","941300","GRECIA","UNIDAD NACIONAL",39
"920000","AMERICA","921500","GUATEMALA","UNIDAD NACIONAL",131
"920000","AMERICA","923000","GUAYANA FRANCESA","ALIANZA PARA EL PROGRESO",0
"920000","AMERICA","923000","GUAYANA FRANCESA","ALIANZA POR EL FUTURO",0
"920000","AMERICA","923000","GUAYANA FRANCESA","AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL",0
"920000","AMERICA","923000","GUAYANA FRANCESA","CON FUERZA PERU",0
"920000","AMERICA","923000","GUAYANA FRANCESA","CONCERTACION DESCENTRALISTA",0
"920000","AMERICA","923000","GUAYANA FRANCESA","FRENTE DE CENTRO",0
"920000","AMERICA","923000","GUAYANA FRANCESA","FUERZA DEMOCRATICA",0
"920000","AMERICA","923000","GUAYANA FRANCESA","MOVIMIENTO NUEVA IZQUIERDA",0
"920000","AMERICA","923000","GUAYANA FRANCESA","PARTIDO APRISTA PERUANO",0
"920000","AMERICA","923000","GUAYANA FRANCESA","PARTIDO JUSTICIA NACIONAL",0
"920000","AMERICA","923000","GUAYANA FRANCESA","PARTIDO RECONSTRUCCION DEMOCRATICA",0
"920000","AMERICA","923000","GUAYANA FRANCESA","PARTIDO RENACIMIENTO ANDINO",0
"920000","AMERICA","923000","GUAYANA FRANCESA","PARTIDO SOCIALISTA",0
"920000","AMERICA","923000","GUAYANA FRANCESA","PERU AHORA",0
"920000","AMERICA","923000","GUAYANA FRANCESA","PROGRESEMOS PERU",0
"920000","AMERICA","923000","GUAYANA FRANCESA","RESTAURACION NACIONAL",0
"920000","AMERICA","923000","GUAYANA FRANCESA","RESURGIMIENTO PERUANO",0
"920000","AMERICA","923000","GUAYANA FRANCESA","UNIDAD NACIONAL",0
"920000","AMERICA","923000","GUAYANA FRANCESA","UNION POR EL PERU",0
"920000","AMERICA","923000","GUAYANA FRANCESA","Y SE LLAMA PERU",0
"940000","EUROPA","941400","HOLANDA","UNIDAD NACIONAL",305
"920000","AMERICA","921700","HONDURAS","UNIDAD NACIONAL",68
"090000","HUANUCO","090900","HUACAYBAMBA","UNION POR EL PERU",2641
"060000","CAJAMARCA","060700","HUALGAYOC","UNION POR EL PERU",8205
"210000","SAN MARTIN","210200","HUALLAGA","UNION POR EL PERU",2946
"090000","HUANUCO","090400","HUAMALIES","UNION POR EL PERU",7939
"050000","AYACUCHO","050100","HUAMANGA","UNION POR EL PERU",55047
"050000","AYACUCHO","050800","HUANCA SANCOS","UNION POR EL PERU",2446
"190000","PIURA","190300","HUANCABAMBA","UNION POR EL PERU",13993
"200000","PUNO","200500","HUANCANE","UNION POR EL PERU",17886
"080000","HUANCAVELICA","080100","HUANCAVELICA","UNION POR EL PERU",26964
"110000","JUNIN","110100","HUANCAYO","UNION POR EL PERU",98156
"050000","AYACUCHO","050300","HUANTA","UNION POR EL PERU",18123
"090000","HUANUCO","090100","HUANUCO","UNION POR EL PERU",39327
"140000","LIMA","140800","HUARAL","UNIDAD NACIONAL",20841
"020000","ANCASH","020100","HUARAZ","UNION POR EL PERU",23096
"020000","ANCASH","020800","HUARI","UNION POR EL PERU",9126
"020000","ANCASH","021900","HUARMEY","UNION POR EL PERU",4061
"140000","LIMA","140600","HUAROCHIRI","UNION POR EL PERU",11485
"140000","LIMA","140500","HUAURA","PARTIDO APRISTA PERUANO",30475
"020000","ANCASH","020700","HUAYLAS","UNION POR EL PERU",6024
"080000","HUANCAVELICA","080600","HUAYTARA","UNION POR EL PERU",3518
"940000","EUROPA","941500","HUNGRIA","UNIDAD NACIONAL",29
"100000","ICA","100100","ICA","PARTIDO APRISTA PERUANO",58385
"170000","MOQUEGUA","170300","ILO","UNION POR EL PERU",13485
"930000","ASIA","930400","INDIA","UNIDAD NACIONAL",5
"930000","ASIA","931100","INDONESIA","UNIDAD NACIONAL",5
"930000","ASIA","932400","IRAN","ALIANZA PARA EL PROGRESO",0
"930000","ASIA","932400","IRAN","ALIANZA POR EL FUTURO",0
"930000","ASIA","932400","IRAN","AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL",0
"930000","ASIA","932400","IRAN","CON FUERZA PERU",0
"930000","ASIA","932400","IRAN","CONCERTACION DESCENTRALISTA",0
"930000","ASIA","932400","IRAN","FRENTE DE CENTRO",0
"930000","ASIA","932400","IRAN","FUERZA DEMOCRATICA",0
"930000","ASIA","932400","IRAN","MOVIMIENTO NUEVA IZQUIERDA",0
"930000","ASIA","932400","IRAN","PARTIDO APRISTA PERUANO",0
"930000","ASIA","932400","IRAN","PARTIDO JUSTICIA NACIONAL",0
"930000","ASIA","932400","IRAN","PARTIDO RECONSTRUCCION DEMOCRATICA",0
"930000","ASIA","932400","IRAN","PARTIDO RENACIMIENTO ANDINO",0
"930000","ASIA","932400","IRAN","PARTIDO SOCIALISTA",0
"930000","ASIA","932400","IRAN","PERU AHORA",0
"930000","ASIA","932400","IRAN","PROGRESEMOS PERU",0
"930000","ASIA","932400","IRAN","RESTAURACION NACIONAL",0
"930000","ASIA","932400","IRAN","RESURGIMIENTO PERUANO",0
"930000","ASIA","932400","IRAN","UNIDAD NACIONAL",0
"930000","ASIA","932400","IRAN","UNION POR EL PERU",0
"930000","ASIA","932400","IRAN","Y SE LLAMA PERU",0
"940000","EUROPA","941600","ISLANDIA","ALIANZA PARA EL PROGRESO",0
"940000","EUROPA","941600","ISLANDIA","ALIANZA POR EL FUTURO",0
"940000","EUROPA","941600","ISLANDIA","AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL",0
"940000","EUROPA","941600","ISLANDIA","CON FUERZA PERU",0
"940000","EUROPA","941600","ISLANDIA","CONCERTACION DESCENTRALISTA",0
"940000","EUROPA","941600","ISLANDIA","FRENTE DE CENTRO",0
"940000","EUROPA","941600","ISLANDIA","FUERZA DEMOCRATICA",0
"940000","EUROPA","941600","ISLANDIA","MOVIMIENTO NUEVA IZQUIERDA",0
"940000","EUROPA","941600","ISLANDIA","PARTIDO APRISTA PERUANO",0
"940000","EUROPA","941600","ISLANDIA","PARTIDO JUSTICIA NACIONAL",0
"940000","EUROPA","941600","ISLANDIA","PARTIDO RECONSTRUCCION DEMOCRATICA",0
"940000","EUROPA","941600","ISLANDIA","PARTIDO RENACIMIENTO ANDINO",0
"940000","EUROPA","941600","ISLANDIA","PARTIDO SOCIALISTA",0
"940000","EUROPA","941600","ISLANDIA","PERU AHORA",0
"940000","EUROPA","941600","ISLANDIA","PROGRESEMOS PERU",0
"940000","EUROPA","941600","ISLANDIA","RESTAURACION NACIONAL",0
"940000","EUROPA","941600","ISLANDIA","RESURGIMIENTO PERUANO",0
"940000","EUROPA","941600","ISLANDIA","UNIDAD NACIONAL",0
"940000","EUROPA","941600","ISLANDIA","UNION POR EL PERU",0
"940000","EUROPA","941600","ISLANDIA","Y SE LLAMA PERU",0
"040000","AREQUIPA","040700","ISLAY","UNION POR EL PERU",13556
"930000","ASIA","930600","ISRAEL","UNIDAD NACIONAL",80
"940000","EUROPA","941700","ITALIA","UNIDAD NACIONAL",15029
"060000","CAJAMARCA","060800","JAEN","UNION POR EL PERU",25559
"920000","AMERICA","921800","JAMAICA","UNIDAD NACIONAL",8
